provinsi,ipm_2024,ipm_2027,cluster_id,cluster_label,delta
ACEH,74.7,73.253,1,Cluster B,-1.447
SUMATERA UTARA,75.13,74.091,1,Cluster B,-1.039
SUMATERA BARAT,75.64,75.181,1,Cluster B,-0.459
RIAU,74.95,74.451,1,Cluster B,-0.499
JAMBI,73.73,73.615,1,Cluster B,-0.115
SUMATERA SELATAN,73.18,73.436,1,Cluster B,0.256
BENGKULU,74.3,74.392,0,Cluster A,0.092
LAMPUNG,72.48,72.986,1,Cluster B,0.506
KEP. BANGKA BELITUNG,74.09,73.838,1,Cluster B,-0.252
KEP. RIAU,79.08,78.84,1,Cluster B,-0.24
DKI JAKARTA,83.55,80.614,1,Cluster B,-2.936
JAWA BARAT,74.24,73.933,1,Cluster B,-0.307
JAWA TENGAH,73.39,73.12,1,Cluster B,-0.27
DI YOGYAKARTA,81.09,80.205,1,Cluster B,-0.885
JAWA TIMUR,74.65,73.65,1,Cluster B,-1.0
BANTEN,75.77,75.466,1,Cluster B,-0.304
BALI,78.01,77.574,0,Cluster A,-0.436
NUSA TENGGARA BARAT,72.37,74.448,0,Cluster A,2.078
NUSA TENGGARA TIMUR,68.4,68.361,0,Cluster A,-0.039
KALIMANTAN BARAT,70.47,71.213,1,Cluster B,0.743
KALIMANTAN TENGAH,73.73,72.705,1,Cluster B,-1.025
KALIMANTAN SELATAN,74.66,74.74,1,Cluster B,0.08
KALIMANTAN TIMUR,78.2,78.193,1,Cluster B,-0.007
KALIMANTAN UTARA,72.88,72.763,1,Cluster B,-0.117
SULAWESI UTARA,75.04,74.186,1,Cluster B,-0.854
SULAWESI TENGAH,71.66,71.502,0,Cluster A,-0.158
SULAWESI SELATAN,74.6,71.575,1,Cluster B,-3.025
SULAWESI TENGGARA,72.94,72.29,0,Cluster A,-0.65
GORONTALO,71.25,70.529,0,Cluster A,-0.721
SULAWESI BARAT,69.8,69.068,0,Cluster A,-0.732
MALUKU,72.75,73.661,1,Cluster B,0.911
MALUKU UTARA,70.98,73.782,1,Cluster B,2.802
PAPUA BARAT,67.47,68.851,1,Cluster B,1.381
PAPUA BARAT DAYA,67.47,71.473,1,Cluster B,4.003
PAPUA,63.01,68.152,0,Cluster A,5.142
PAPUA SELATAN,63.01,67.375,0,Cluster A,4.365
PAPUA TENGAH,63.01,64.121,0,Cluster A,1.111
PAPUA PEGUNUNGAN,63.01,64.105,0,Cluster A,1.095
